name,score
Alt-Heiligkreuz,1.0
Alt-Kürenz,0.2849780729981703
Altstadt,0.7347907556381618
Barbara,0.9981014090566428
Biewer,1.0
Ehrang,0.9997194014678865
Ehrang-Quint,0.9997728488073367
Eitelsbach,1.0
Euren,0.9989315991994387
Feyen,0.9971767207045338
Feyen-Weismark,0.9981957662662718
Filsch,0.991838015637237
Gartenfeld,0.6162267821065259
Heiligkreuz,1.0
Herresthal,1.0
Irsch,0.9918418207458767
Kernscheid,0.9941972633073393
Kürenz,0.5351292522123092
Mariahof,0.9995863892051305
Matthias,1.0
Maximin,0.34510015720461623
Mitte-Gartenfeld,0.7114484733491209
Nells-Ländchen,0.7944452213668631
Neu-Heiligkreuz,1.0
Neu-Kürenz,0.7714987834921698
Nord,0.5753603518132423
Olewig,0.9848198138675782
Pallien,0.9995337789378075
Pfalzel,0.9994873283002101
Quint,1.0
Ruwer,0.9999142218228158
Ruwer-Eitelsbach,0.9999237527313918
Süd,0.9991718911842803
Tarforst,0.9874368988158799
Trier,0.8867951394106555
Weismark,0.9999411357984349
West,0.9998574443620187
West-Pallien,0.9997396006797631
Zewen,0.9993637442142782
