name,score
Alt-Heiligkreuz,1.0
Alt-Kürenz,0.8626513172727164
Altstadt,0.8747600043243198
Barbara,0.9981014090566428
Biewer,0.0
Ehrang,0.0
Ehrang-Quint,0.0
Eitelsbach,0.9154063168503186
Euren,0.9989315991994387
Feyen,0.9971767207045338
Feyen-Weismark,0.9981957662662718
Filsch,0.991838015637237
Gartenfeld,0.9891767877895251
Heiligkreuz,1.0
Herresthal,1.0
Irsch,0.9918418207458767
Kernscheid,0.9941972633073393
Kürenz,0.8895207105898981
Mariahof,0.9995863892051305
Matthias,1.0
Maximin,0.3474440640627594
Mitte-Gartenfeld,0.8972858085690321
Nells-Ländchen,0.794051980375171
Neu-Heiligkreuz,1.0
Neu-Kürenz,0.91547266980356
Nord,0.575056613033314
Olewig,0.9858682635772805
Pallien,0.18287611875927035
Pfalzel,0.0
Quint,0.0
Ruwer,0.900876376176819
Ruwer-Eitelsbach,0.9024908140294301
Süd,0.9991718911842803
Tarforst,0.9874368988158799
Trier,0.7381170656044219
Weismark,0.9999411357984349
West,0.9856177001125616
West-Pallien,0.6870781428149756
Zewen,0.9993637442142782
