name,score
Alt-Heiligkreuz,1.0
Alt-Kürenz,0.7704688296060364
Altstadt,0.8047060003937212
Barbara,0.9981014090566428
Biewer,0.3297529864129171
Ehrang,0.5391233468259714
Ehrang-Quint,0.5571470791690275
Eitelsbach,0.8296817487082958
Euren,0.9989315991994387
Feyen,0.9971767207045338
Feyen-Weismark,0.9981957662662718
Filsch,0.991838015637237
Gartenfeld,0.9891767877895251
Heiligkreuz,1.0
Herresthal,1.0
Irsch,0.9918418207458767
Kernscheid,0.9941972633073393
Kürenz,0.8175191694741593
Mariahof,0.9995863892051305
Matthias,1.0
Maximin,0.057165494653938824
Mitte-Gartenfeld,0.84102368666227
Nells-Ländchen,0.4259266008689798
Neu-Heiligkreuz,1.0
Neu-Kürenz,0.8628911954732796
Nord,0.2438658253371489
Olewig,0.9854089082142126
Pallien,0.5585405366886884
Pfalzel,0.41697411056528627
Quint,0.6338149759972909
Ruwer,0.7993605778972871
Ruwer-Eitelsbach,0.8027295968762881
Süd,0.9991718911842803
Tarforst,0.9874368988158799
Trier,0.7773918867429295
Weismark,0.9999411357984349
West,0.9856177001125616
West-Pallien,0.825548303689983
Zewen,0.9993637442142782
