name,score
Alt-Heiligkreuz,0.9239537994022058
Alt-Kürenz,1.0
Altstadt,0.9976758444488746
Barbara,0.9934191199213595
Biewer,0.9994251018774155
Ehrang,0.9909468474252231
Ehrang-Quint,0.9926712574394663
Eitelsbach,1.0
Euren,0.9971983312975556
Feyen,0.9964440641741319
Feyen-Weismark,0.9977228721611885
Filsch,0.9997955929151767
Gartenfeld,0.6540423090951231
Heiligkreuz,0.5235604369600702
Herresthal,1.0
Irsch,0.9994093429505089
Kernscheid,0.9550749753726993
Kürenz,0.9734594548459469
Mariahof,0.6682257050237611
Matthias,1.0
Maximin,0.9998536349269874
Mitte-Gartenfeld,0.9300229921761047
Nells-Ländchen,0.9998537404467246
Neu-Heiligkreuz,0.29812341478290943
Neu-Kürenz,0.9472800055443298
Nord,0.9998554881223417
Olewig,0.09893884358158136
Pallien,0.999745626955269
Pfalzel,0.9590770398606289
Quint,1.0
Ruwer,1.0
Ruwer-Eitelsbach,1.0
Süd,0.9971296161359121
Tarforst,0.974892532677958
Trier,0.9260201233885957
Weismark,0.9999124284133681
West,0.99968373016092
West-Pallien,0.9997097836193055
Zewen,0.998344238892887
