name,score
Alt-Heiligkreuz,0.9904421373609994
Alt-Kürenz,1.0
Altstadt,0.5071540721999731
Barbara,0.1922663144597154
Biewer,0.9945790331434822
Ehrang,0.9909468474252231
Ehrang-Quint,0.9926712574394663
Eitelsbach,1.0
Euren,0.9166390139245875
Feyen,0.9395103713509312
Feyen-Weismark,0.9605229929552775
Filsch,0.9997955929151767
Gartenfeld,0.9473941157793413
Heiligkreuz,0.9950769422430572
Herresthal,1.0
Irsch,0.9994093429505089
Kernscheid,0.9961053537468064
Kürenz,0.9973672666817242
Mariahof,0.9997940601029665
Matthias,0.8119136934958131
Maximin,0.9710940212635197
Mitte-Gartenfeld,0.5938263307796612
Nells-Ländchen,0.9998537404467246
Neu-Heiligkreuz,0.9975195071747854
Neu-Kürenz,0.9947703528643774
Nord,0.9860650176361707
Olewig,0.9755760687392483
Pallien,0.7470904342618622
Pfalzel,0.9590770398606289
Quint,1.0
Ruwer,1.0
Ruwer-Eitelsbach,1.0
Süd,0.5446433415732203
Tarforst,0.9996629290192319
Trier,0.8755944866314634
Weismark,0.9989681138992459
West,0.0
West-Pallien,0.2790750596855127
Zewen,0.998344238892887
