name,score
Alt-Heiligkreuz,0.0
Alt-Kürenz,0.0
Altstadt,0.0
Barbara,0.0
Biewer,0.0
Ehrang,0.0
Ehrang-Quint,0.0
Eitelsbach,0.0
Euren,0.0
Feyen,0.0
Feyen-Weismark,0.0
Filsch,0.0
Gartenfeld,0.0
Heiligkreuz,0.0
Herresthal,0.0
Irsch,0.0
Kernscheid,0.0
Kürenz,0.0
Mariahof,0.0
Matthias,0.0
Maximin,0.0
Mitte-Gartenfeld,0.0
Nells-Ländchen,0.0
Neu-Heiligkreuz,0.0
Neu-Kürenz,0.0
Nord,0.0
Olewig,0.0
Pallien,0.0
Pfalzel,0.0
Quint,0.0
Ruwer,0.0
Ruwer-Eitelsbach,0.0
Süd,0.0
Tarforst,0.0
Trier,0.0
Weismark,0.0
West,0.0
West-Pallien,0.0
Zewen,0.0
