name,score
Alt-Heiligkreuz,0.0
Alt-Kürenz,1.0
Altstadt,0.4852573407009041
Barbara,0.002931629329668844
Biewer,0.9957234997517813
Ehrang,0.9909468474252231
Ehrang-Quint,0.9926712574394663
Eitelsbach,1.0
Euren,0.9585855386381831
Feyen,0.0
Feyen-Weismark,0.0
Filsch,0.9997955929151767
Gartenfeld,0.5254834035016124
Heiligkreuz,0.0
Herresthal,1.0
Irsch,0.9994093429505089
Kernscheid,0.9961053537468064
Kürenz,0.9954994750880618
Mariahof,0.025974025974025976
Matthias,0.0
Maximin,0.9710940212635197
Mitte-Gartenfeld,0.49317684681479357
Nells-Ländchen,0.9998537404467246
Neu-Heiligkreuz,0.0
Neu-Kürenz,0.9910601818075787
Nord,0.9860650176361707
Olewig,0.9755760687392483
Pallien,0.8365912501405192
Pfalzel,0.9590770398606289
Quint,1.0
Ruwer,1.0
Ruwer-Eitelsbach,1.0
Süd,0.0012786893884725809
Tarforst,0.9996629290192319
Trier,0.7548577417698003
Weismark,0.0
West,0.845029687387335
West-Pallien,0.8409567800461802
Zewen,0.998344238892887
